store,date,avg_diff,avg_g,total_diff,note
エスパス秋葉原駅前店 ,3/8(⼟),369,4752,187545,Lスマスロとある魔術の禁書⽬録
エスパス秋葉原駅前店 ,3/7(⾦),41,3490,21147,"3/6(⽊) +54 3,902 +27,925 スロット ゾンビランドサガ"
エスパス秋葉原駅前店 ,3/5(⽔),-94,2624,-48086,スマスロ 七つの魔剣が⽀配する
エスパス秋葉原駅前店 ,3/4(⽕),356,3872,181077,回胴黙⽰録カイジ 狂宴
エスパス秋葉原駅前店 ,3/3(⽉),343,4360,174358,Lパチスロ かぐや様は告らせたい
エスパス秋葉原駅前店 ,3/2(⽇),2,4197,1129,スロット ゾンビランドサガ
エスパス秋葉原駅前店 ,3/1(⼟),183,5364,93307,スロット Re:ゼロから始める異世界⽣活 season2
エスパス秋葉原駅前店 ,2/28(⾦),193,4621,98453,スマスロ ゴッドイーター リザレクション
エスパス秋葉原駅前店 ,2/27(⽊),-5,3521,-2944,Lパチスロ かぐや様は告らせたい
エスパス秋葉原駅前店 ,2/26(⽔),342,3802,173873,Lパチスロ閃乱カグラ2 SHINOVI MASTER
エスパス秋葉原駅前店 ,2/25(⽕),-124,3667,-63456,"2/24(⽉) -109 4,662 -55,540 シャーマンキング"
エスパス秋葉原駅前店 ,2/23(⽇),472,5072,239998,ひぐらしのなく頃に祭2
エスパス秋葉原駅前店 ,2/22(⼟),-356,5612,-181212,L サラリーマン⾦太郎
エスパス秋葉原駅前店 ,2/21(⾦),258,4432,131378,Lスマスロとある魔術の禁書⽬録
エスパス秋葉原駅前店 ,2/20(⽊),-45,3859,-23354,スロット Re:ゼロから始める異世界⽣活 season2
エスパス秋葉原駅前店 ,2/19(⽔),125,3044,63635,Lスマスロとある魔術の禁書⽬録
エスパス秋葉原駅前店 ,2/18(⽕),-88,2660,-45025,"2/17(⽉) +401 4,701 +204,135 シャーマンキング"
エスパス秋葉原駅前店 ,2/16(⽇),7,5287,3826,Lパチスロ閃乱カグラ2 SHINOVI MASTER
エスパス秋葉原駅前店 ,2/15(⼟),171,4990,87316,マクロスデルタ
エスパス秋葉原駅前店 ,2/14(⾦),171,4819,87069,スロット Re:ゼロから始める異世界⽣活 season2
エスパス秋葉原駅前店 ,2/13(⽊),9,2779,4802,スーパーブラックジャック
エスパス秋葉原駅前店 ,2/12(⽔),-137,3783,-69674,Lスマスロとある魔術の禁書⽬録
エスパス秋葉原駅前店 ,2/11(⽕),91,5237,46278,Lパチスロ閃乱カグラ2 SHINOVI MASTER
エスパス秋葉原駅前店 ,2/10(⽉),-235,4559,-119654,Lパチスロ閃乱カグラ2 SHINOVI MASTER
エスパス秋葉原駅前店 ,2/9(⽇),25,4693,13187,Lルパン三世 ⼤航海者の秘宝
エスパス秋葉原駅前店 ,2/8(⼟),452,5334,229745,スマスロ ゴッドイーター リザレクション
エスパス秋葉原駅前店 ,2/7(⾦),-23,3268,-12160,マクロスデルタ
エスパス秋葉原駅前店 ,2/6(⽊),62,3952,31873,スマスロモンキーターンV
エスパス秋葉原駅前店 ,2/5(⽔),25,3525,13075,スマスロ痛いのは嫌なので防御⼒に極振りしたいと思います。
エスパス秋葉原駅前店 ,2/4(⽕),344,4538,175069,Lスマスロとある魔術の禁書⽬録
エスパス秋葉原駅前店 ,2/3(⽉),-82,3577,-41656,シャーマンキング
エスパス秋葉原駅前店 ,2/1(⼟),-208,5005,-105949,Lパチスロ戦姫絶唱シンフォギア 正義の歌
